ID	CANONICAL_SMILES	Ki_nM
2932	NC(=N)NS(=O)(=O)c1cccc(N)c1	107
4537	Clc1ccc(NC(=O)c2cc(Cl)ccc2NC(=O)c3scc(CN4CCSCC4)c3Cl)cc1	5000
1106	NC(=N)c1ccc2[nH]c(nc2c1)c3ccccc3O	55000
1596	Cl.CC1(C)[C@@H]2C[C@H]3OB(O[C@@]3(C)[C@H]1C2)[C@H](CCCCN)NC(=O)[C@@H]4CCCN4C(=O)c5cccc(Sc6ccccc6)c5	0.1
2771	Cc1ccc(cc1)S(=O)(=O)NC(=O)N2CCCC2C(=O)Nc3ccc(cc3)S(=O)(=O)N=C(N)N	48
2446	NCc1cc(Cc2c(sc3cc(O)ccc23)c4ccc(OCCN5CCCC5)cc4)ccc1CN6CCCC6	11
2703	Cc1cc(OCC2CCN(CC2)C(=N)N)cc(OS(=O)(=O)c3cccc4ccccc34)c1	35
2925	CC1=CC=C(NS(=O)(=O)Cc2cccc3OCCOc23)C(=O)N1CC(=O)NCc4cnc(N)nc4C	103.2
4538	FC(F)(F)c1ccc(C(=O)Nc2ccc(Cl)cc2)c(NC(=O)c3sc4ccccc4c3Cl)c1	5000
1522	CC1=CC(N2N(C1)C(=O)N(CC(c3ccccc3)c4ccccc4)C2=O)C(=O)NC(CCCCN)C(=O)C(=O)NCCc5ccc(cc5)C(=O)N	0.035
2195	[O-][n+]1ccccc1C(F)(F)CNC2=NC=C(Cl)N(CC(=O)NCc3ccc(F)c(Cl)c3)C2=O	3.6
